h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.54801,0.998813,0.54801,0.998813,"{'att': 194, 'def': 17}","{'att': 122, 'def': 17}",3,8,0,0,0.9123,d,2021-12-12 14:00:00,0,1,0,1,-0.4508029999999999
a,0.871738,1.80776,0.871738,1.80776,"{'att': 249, 'def': 21}","{'att': 202, 'def': 10}",6,6,1,3,0.6896,l,2021-12-30 20:15:00,0,0,1,0,-0.936022
a,0.960493,2.04186,0.960493,2.04186,"{'att': 181, 'def': 21}","{'att': 111, 'def': 18}",2,8,1,3,0.6182,l,2022-01-02 14:00:00,0,0,1,0,-1.0813669999999995
a,0.388963,1.35507,0.388963,1.35507,"{'att': 347, 'def': 14}","{'att': 84, 'def': 14}",5,11,0,0,0.5587,d,2022-01-23 14:00:00,0,1,0,1,-0.966107
h,0.765905,0.933965,0.765905,0.933965,"{'att': 158, 'def': 19}","{'att': 193, 'def': 21}",5,9,0,0,1.1767,d,2022-02-05 18:00:00,0,1,0,1,-0.1680600000000001
h,0.772721,1.83387,0.772721,1.83387,"{'att': 256, 'def': 21}","{'att': 122, 'def': 16}",5,14,1,1,0.5867,d,2022-02-08 20:00:00,0,1,0,1,-1.061149
h,1.16081,1.95722,1.16081,1.95722,"{'att': 368, 'def': 27}","{'att': 162, 'def': 20}",1,6,0,1,0.6067,l,2022-02-13 14:00:00,0,0,1,0,-0.7964100000000001
a,0.821228,0.44587,0.821228,0.44587,"{'att': 315, 'def': 23}","{'att': 103, 'def': 20}",2,6,3,0,1.6996000000000002,w,2022-02-19 15:00:00,1,0,0,3,0.3753579999999999
h,1.55576,0.691655,1.55576,0.691655,"{'att': 363, 'def': 30}","{'att': 152, 'def': 16}",3,11,1,0,2.1451,w,2022-02-23 19:30:00,1,0,0,3,0.864105
a,0.255988,1.03765,0.255988,1.03765,"{'att': 275, 'def': 33}","{'att': 173, 'def': 8}",2,7,1,1,0.546,d,2022-02-26 15:00:00,0,1,0,1,-0.781662
h,1.18709,0.321701,1.18709,0.321701,"{'att': 277, 'def': 42}","{'att': 355, 'def': 5}",14,3,3,0,2.2037,w,2021-08-14 14:00:00,1,0,0,3,0.865389
a,3.64132,0.630099,3.64132,0.630099,"{'att': 156, 'def': 15}","{'att': 376, 'def': 23}",19,3,2,0,2.8946,w,2021-08-22 15:30:00,1,0,0,3,3.011221
a,0.573638,2.08462,0.573638,1.32345,"{'att': 309, 'def': 11}","{'att': 211, 'def': 29}",4,6,1,1,0.3479,d,2021-08-28 16:30:00,0,1,0,1,-0.749812
h,1.22153,1.17349,1.22153,1.17349,"{'att': 188, 'def': 19}","{'att': 306, 'def': 31}",3,6,3,0,1.3641,w,2021-09-11 16:30:00,1,0,0,3,0.04804
a,2.5869,0.70567,2.5869,0.70567,"{'att': 298, 'def': 32}","{'att': 298, 'def': 20}",15,0,3,0,2.5953,w,2021-09-19 15:30:00,1,0,0,3,1.88123
h,0.194202,1.69244,0.194202,1.69244,"{'att': 343, 'def': 16}","{'att': 274, 'def': 30}",4,9,0,1,0.2603,l,2021-09-25 11:30:00,0,0,1,0,-1.498238
h,3.79243,1.52634,3.79243,0.765173,"{'att': 175, 'def': 24}","{'att': 341, 'def': 36}",12,4,3,1,2.7201000000000004,w,2021-10-02 14:00:00,1,0,0,3,3.027257
a,0.248256,1.62169,0.248256,1.62169,"{'att': 208, 'def': 15}","{'att': 271, 'def': 19}",8,16,1,0,0.3083,w,2021-10-16 16:30:00,1,0,0,3,-1.373434
h,3.10509,0.267429,2.34393,0.267429,"{'att': 248, 'def': 36}","{'att': 327, 'def': 18}",10,0,7,0,2.9177,w,2021-10-23 11:30:00,1,0,0,3,2.076501
a,2.16608,0.157616,1.40491,0.157616,"{'att': 74, 'def': 19}","{'att': 316, 'def': 15}",14,0,3,0,2.8571,w,2021-10-30 14:00:00,1,0,0,3,1.247294
