id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
8992,Hakim Ziyech,4,188,1,0.13197383657097816,3,2.251051813364029,4,8,0,0,F S,Chelsea,1,0.13197383657097816,1.2232523560523987,0.28004977852106094
76,Fabian Schär,5,367,0,0.023183558136224747,0,0,1,0,0,0,D S,Newcastle United,0,0.023183558136224747,0.1860298253595829,0.16284626349806786
87,Joelinton,7,303,0,0.09585683234035969,0,0.15230456367135048,3,3,2,0,F M S,Newcastle United,0,0.09585683234035969,0.6926805898547173,0.44451919943094254
181,Bernd Leno,7,630,0,0,0,0,0,0,0,0,GK,Arsenal,0,0,0.8804288506507874,0.8804288506507874
200,Andreas Christensen,4,315,0,0.045277103781700134,0,0,1,0,1,1,D,Chelsea,0,0.045277103781700134,1.3784126043319702,1.3784126043319702
204,Granit Xhaka,6,413,0,0.26606587693095207,0,0.08170896768569946,5,1,1,0,D M S,Arsenal,0,0.26606587693095207,2.9579185843467712,2.900694489479065
229,Thiago Alcántara,2,133,0,0.0776442252099514,0,0.21188020706176758,3,3,0,0,M S,Liverpool,0,0.0776442252099514,1.0123679041862488,0.8945311009883881
239,Pascal Groß,7,241,0,0.24377112090587616,1,0.39573086705058813,5,8,0,0,M S,Brighton,0,0.24377112090587616,1.1556018367409706,0.8914248496294022
314,Ilkay Gündogan,3,119,0,0.08916252851486206,0,0.15136267617344856,2,2,0,0,M S,Manchester City,0,0.08916252851486206,0.318895548582077,0.10742375999689102
332,Joel Matip,2,91,0,0.08634794503450394,0,0,1,0,0,0,D S,Liverpool,0,0.08634794503450394,0.9308730959892273,0.9308730959892273
342,Sead Kolasinac,1,90,0,0,0,0,0,0,0,0,D,Arsenal,0,0,0.42935803532600403,0.42935803532600403
343,Pierre-Emile Højbjerg,7,630,0,0.03351501375436783,1,0.7287896275520325,2,5,1,0,M,Tottenham,0,0.03351501375436783,3.8721147775650024,3.505307227373123
461,Matt Ritchie,1,72,0,0.03661158308386803,0,0.04364866390824318,1,1,0,0,D,Newcastle United,0,0.03661158308386803,0.09053761512041092,0.053926028311252594
485,Mamadou Sakho,4,274,0,0.0188349187374115,0,0,1,0,0,0,D S,Crystal Palace,0,0.0188349187374115,0.5140529274940491,0.5140529274940491
486,Adam Lallana,8,471,0,0.23421945795416832,0,1.0566173940896988,5,9,0,0,M S,Brighton,0,0.23421945795416832,2.526881068944931,1.3504007309675217
489,James Milner,5,59,0,0,0,0.019440678879618645,0,1,0,0,S,Liverpool,0,0,0.5979260876774788,0.5979260876774788
492,Héctor Bellerín,7,630,0,0.06472476571798325,2,0.6254728026688099,1,4,3,0,D M,Arsenal,0,0.06472476571798325,2.15602495893836,1.984766360372305
496,Mohamed Elneny,4,360,0,0.1434297375380993,0,0.054610803723335266,2,1,0,0,M,Arsenal,0,0.1434297375380993,1.7657561227679253,1.5677155815064907
500,Alex Iwobi,7,171,0,0.05344681441783905,1,0.6595174297690392,1,3,0,0,F S,Everton,0,0.05344681441783905,1.3287104964256287,0.6157463099807501
501,Danny Welbeck,2,99,0,0.4399665892124176,0,0.49416688084602356,4,3,0,0,F S,Brighton,0,0.4399665892124176,0.9341334700584412,0
502,Olivier Giroud,3,28,0,0,0,0,0,0,0,0,S,Chelsea,0,0,0.059130746871232986,0.059130746871232986
503,Theo Walcott,4,279,0,0.3357948586344719,2,0.33150940388441086,7,6,0,0,F M S,"Everton,Southampton",0,0.3357948586344719,0.7609488889575005,0.1304558664560318
510,Joel Ward,5,450,0,0,0,0.012522825039923191,0,1,2,0,D,Crystal Palace,0,0,0.540371797978878,0.540371797978878
527,Adrián,2,180,0,0,0,0,0,0,0,0,GK,Liverpool,0,0,0.3626532182097435,0.3626532182097435
528,Angelo Ogbonna,8,693,0,0.13582557532936335,0,0.14660999178886414,3,1,2,0,D,West Ham,0,0.13582557532936335,0.9438963532447815,0.9438963532447815
533,Mark Noble,3,70,0,0,0,0.01188643742352724,0,1,0,0,M S,West Ham,0,0,0.22685986757278442,0.22685986757278442
534,Aaron Cresswell,8,720,0,0.22402427718043327,3,1.453040363267064,3,17,0,0,D,West Ham,0,0.22402427718043327,2.776127714663744,2.1509785279631615
537,Andy Carroll,6,164,0,0.2582079414278269,0,0.02349383942782879,5,1,0,0,F S,Newcastle United,0,0.2582079414278269,0.38214075844734907,0.13510008435696363
545,Kieran Gibbs,2,135,0,0,0,0.018616270273923874,0,1,0,1,D,West Bromwich Albion,0,0,0.30512529611587524,0.28650902956724167
546,David de Gea,7,630,0,0,0,0,0,0,0,0,GK,Manchester United,0,0,0.09414176642894745,0.09414176642894745
549,Timothy Fosu-Mensah,1,85,0,0.015449298545718193,0,0.30515241622924805,1,2,1,0,D,Manchester United,0,0.015449298545718193,0.4019051194190979,0.3608218729496002
553,Anthony Martial,4,293,0,0.3661124147474766,0,0,3,0,0,1,F,Manchester United,0,0.3661124147474766,0.2952143996953964,0.2811627872288227
554,Juan Mata,3,235,0,0.17761727795004845,1,0.19342739880084991,3,6,0,0,M,Manchester United,0,0.17761727795004845,0.8040975481271744,0.5964869614690542
573,Odion Ighalo,1,5,0,0,0,0,0,0,0,0,S,Manchester United,0,0,0,0
585,Seamus Coleman,6,450,0,0.04070584662258625,1,0.5829970985651016,2,3,0,0,D,Everton,0,0.04070584662258625,2.373678967356682,2.296406302601099
586,John Stones,1,90,0,0,0,0,0,0,0,0,D,Manchester City,0,0,0,0
589,James McCarthy,5,335,0,0.012277675792574883,0,0.016179664060473442,1,1,1,0,M S,Crystal Palace,0,0.012277675792574883,0.8561866134405136,0.8561866134405136
603,Nathaniel Clyne,3,253,0,0.03140290826559067,0,0.036821018904447556,1,1,0,0,D,Crystal Palace,0,0.03140290826559067,0.6028684824705124,0.5714655667543411
605,Jordan Henderson,5,385,0,0.5053066052496433,0,0.4396929983049631,6,4,0,0,M,Liverpool,0,0.5053066052496433,3.60735160112381,3.2176021337509155
606,Christian Benteke,4,12,0,0,0,0,0,0,0,0,S,Crystal Palace,0,0,0,0
614,Fernandinho,4,154,0,0.49067822843790054,0,0,4,0,0,0,M S,Manchester City,0,0.49067822843790054,0.7412513867020607,0.7049412503838539
619,Sergio Agüero,2,113,0,0.04538629576563835,0,0.7107192277908325,1,3,0,0,F,Manchester City,0,0.04538629576563835,0.9011620879173279,0.47545456886291504
620,Kelechi Iheanacho,3,103,0,0.11031043902039528,0,0.3915495425462723,2,3,0,0,F S,Leicester,0,0.11031043902039528,0.5018599629402161,0
624,Willy Caballero,1,90,0,0,0,0,0,0,0,0,GK,Chelsea,0,0,0.14356312155723572,0.14356312155723572
633,James McArthur,6,523,0,0.08643903583288193,0,0.5640776008367538,2,4,2,0,M,Crystal Palace,0,0.08643903583288193,1.1094272062182426,0.5252367854118347
635,Alex McCarthy,8,720,0,0,0,0,0,0,0,0,GK,Southampton,0,0,0.938517339527607,0.938517339527607
637,Hugo Lloris,7,630,0,0,0,0,0,0,0,0,GK,Tottenham,0,0,0.9575159568339586,0.9575159568339586
639,Toby Alderweireld,4,360,0,0,0,0.18203779309988022,0,2,0,0,D,Tottenham,0,0,0.8862114101648331,0.8862114101648331
643,Eric Dier,6,540,0,0.38236626982688904,0,0,1,0,0,0,D,Tottenham,0,0.38236626982688904,1.3657934740185738,1.3657934740185738
644,Erik Lamela,5,188,0,0.5957515016198158,0,0.0793723315000534,8,2,1,0,F M S,Tottenham,0,0.5957515016198158,1.1562599688768387,0.717145211994648
645,Dele Alli,2,64,0,0.23423461616039276,0,0.033409710973501205,2,1,0,0,M S,Tottenham,0,0.23423461616039276,0.5377846956253052,0.3720432221889496
660,Ben Davies,6,375,0,0.0732225775718689,0,0.07410842180252075,1,2,0,0,D S,Tottenham,0,0.0732225775718689,1.2041133791208267,1.164360836148262
661,Josh Onomah,2,136,0,0,0,0,0,0,0,0,M,Fulham,0,0,0.061870550736784935,0.061870550736784935
681,César Azpilicueta,5,313,0,0.06197366490960121,1,0.03255231212824583,2,2,1,0,D S,Chelsea,0,0.06197366490960121,1.0570411160588264,0.9828644320368767
682,Branislav Ivanovic,3,270,0,0.3610883355140686,0,0.048929497599601746,3,1,0,0,D,West Bromwich Albion,0,0.3610883355140686,0.25433648377656937,0.25433648377656937
688,Ruben Loftus-Cheek,4,231,0,0.0891550537198782,0,0.020141568034887314,3,1,1,0,F M S,"Chelsea,Fulham",0,0.0891550537198782,0.18936231546103954,0.17499580048024654
695,Bertrand Traoré,5,61,0,0.1526058427989483,0,0,3,0,0,0,M S,Aston Villa,0,0.1526058427989483,0.32817840948700905,0.22738493233919144
697,Nemanja Matic,4,168,0,0.043925367295742035,0,0.06060520652681589,2,2,1,0,M S,Manchester United,0,0.043925367295742035,0.7615935206413269,0.6706308294087648
699,Gary Cahill,1,90,0,0,0,0,0,0,0,0,D,Crystal Palace,0,0,0,0
