fixture_id,opponent_team_id,total_points,was_home,kickoff_time,team_h_score,team_a_score,gameweek_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,player_price,transfers_balance,selected,transfers_in,transfers_out,team_id,opponent_strength,opponent_team_name,player_id,web_name,position_id,player_price
5,20,6,True,2019-08-11 13:00:00,0,0,1,90,0,0,1,0,0,0,0,0,0,2,0,23,15.8,0.0,0.0,1.6,50,0,330914,0,0,20,4,WOL,168,Schmeichel,1,5.5
6,2,2,True,2019-08-10 16:30:00,3,1,1,90,0,0,0,1,0,0,0,0,0,0,0,14,15.2,11.8,21.0,4.8,55,0,63856,0,0,2,2,AVL,333,Sánchez,2,5.3
10,13,0,False,2019-08-11 13:00:00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,95,0,193916,0,0,13,3,NEW,12,Lacazette,4,9.2
5,20,0,True,2019-08-11 13:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,22504,0,0,20,4,WOL,167,Iheanacho,4,5.7
1,10,1,False,2019-08-09 19:00:00,4,1,1,7,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,2.0,0.2,55,0,11189,0,0,10,5,LIV,434,Drmic,4,5.3
5,20,1,True,2019-08-11 13:00:00,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,2,2.2,15.1,11.0,2.8,55,0,17934,0,0,20,4,WOL,174,Albrighton,3,5.1
5,20,0,True,2019-08-11 13:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,35855,0,0,20,4,WOL,175,Gray,3,5.0
9,12,1,False,2019-08-11 15:30:00,4,0,1,32,0,0,0,3,0,0,0,0,0,0,0,4,5.0,11.8,8.0,2.5,75,0,498277,0,0,12,4,MUN,431,Pulisic,3,7.4
8,11,2,True,2019-08-10 11:30:00,0,5,1,90,0,0,0,5,0,0,0,0,0,0,0,16,10.4,6.8,25.0,4.2,65,0,58508,0,0,11,5,MCI,391,Lanzini,3,6.1
3,5,0,False,2019-08-10 14:00:00,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,10048,0,0,5,3,BUR,327,Slattery,3,4.4
1,14,0,True,2019-08-09 19:00:00,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,65735,0,0,14,2,NOR,185,Matip,2,5.2
1,14,2,True,2019-08-09 19:00:00,4,1,1,90,0,0,0,1,0,0,0,0,0,0,0,10,14.0,11.8,0.0,2.6,55,0,101038,0,0,14,2,NOR,184,Gomez,2,5.3
1,14,8,True,2019-08-09 19:00:00,4,1,1,90,1,0,0,1,0,0,0,0,0,0,0,27,52.4,0.8,21.0,7.4,65,0,2725192,0,0,14,2,NOR,183,van Dijk,2,6.5
3,5,2,False,2019-08-10 14:00:00,3,0,1,90,0,0,0,3,0,0,0,0,0,0,0,8,8.8,12.6,11.0,3.2,45,0,71666,0,0,5,3,BUR,328,Oriol Romeu,3,4.3
6,17,0,False,2019-08-10 16:30:00,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,8824,0,0,17,4,TOT,429,Steer,1,4.3
1,14,5,True,2019-08-09 19:00:00,4,1,1,90,0,1,0,1,0,0,0,0,0,0,0,24,35.6,36.3,12.0,8.4,70,0,1302032,0,0,14,2,NOR,182,Alexander-Arnold,2,7.7
8,11,0,True,2019-08-10 11:30:00,0,5,1,90,0,0,0,5,0,0,0,0,0,0,0,7,9.0,1.5,0.0,1.1,50,0,23399,0,0,11,5,MCI,376,Cresswell,2,4.5
5,20,2,True,2019-08-11 13:00:00,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,5,6.8,4.9,4.0,1.6,90,0,586801,0,0,20,4,WOL,166,Vardy,4,9.7
1,14,2,True,2019-08-09 19:00:00,4,1,1,90,0,0,0,1,0,0,0,0,0,0,0,15,12.4,24.7,7.0,4.4,70,0,1889240,0,0,14,2,NOR,181,Robertson,2,7.0
6,2,0,True,2019-08-10 16:30:00,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,9750,0,0,2,2,AVL,329,Davies,2,5.3
5,20,0,True,2019-08-11 13:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,52604,0,0,20,4,WOL,179,Mendy,3,4.3
5,20,0,True,2019-08-11 13:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,18668,0,0,20,4,WOL,178,Amartey,3,4.2
3,16,1,True,2019-08-10 14:00:00,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,50,0,8105,0,0,16,3,SOU,430,Lennon,3,4.6
5,20,0,True,2019-08-11 13:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,16320,0,0,20,4,WOL,177,James,3,4.3
10,13,6,False,2019-08-11 13:00:00,0,1,1,90,1,0,1,0,0,0,0,0,0,0,0,25,37.4,6.5,106.0,15.0,110,0,1474313,0,0,13,3,NEW,11,Aubameyang,4,10.9
6,2,0,True,2019-08-10 16:30:00,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,199716,0,0,2,2,AVL,330,Vertonghen,2,5.2
5,20,3,True,2019-08-11 13:00:00,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,15,20.2,13.8,3.0,3.7,50,0,69367,0,0,20,4,WOL,176,Ndidi,3,5.0
